modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,81829,86632,4803,PP BYN
MX-C300W,5300340700,policia analisis,47574,47584,10,PP BYN
MX-C300W,5300340700,policia analisis,56209,56210,1,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15496,15496,0,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,60696,60996,300,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,136126,138897,2771,PP BYN
MX-C300W,6300465100,Direccion Proteccion,18129,18609,480,PP BYN
MX-C300W,6300465100,Direccion Proteccion,13687,13910,223,PP COLOR
MX-C301W,6302372100,Presidencia,19787,20108,321,PP COLOR
MX-C301W,6302372100,Presidencia,16081,16725,644,PP BYN
MX-M464N,7503460600,Desarrollo Social,210061,211894,1833,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,71447,73062,1615,PP BYN
MX-C301W,8301370000,Director de,84602,85634,1032,PP BYN
MX-C301W,8301370000,Director de,46272,48347,2075,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,68226,74233,6007,PP BYN
MX-B350W,8F01393000,Secretaria,46017,49094,3077,PP BYN
MX-B355W,8F01489100,DESARROLLO,79007,80619,1612,PP BYN
MX-C303W,9301617900,Catastro,17046,17615,569,PP COLOR
MX-C303W,9301617900,Catastro,5709,6421,712,PP BYN
MX-C301W,9302944100,Gobernación,3459,3962,503,PP BYN
MX-C301W,9302944100,Gobernación,1063,1132,69,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,55367,55613,246,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,117199,117812,613,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,197583,200866,3283,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,77391,77505,114,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,205693,205693,0,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,168917,170077,1160,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15645,15785,140,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,44850,45088,238,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,62160,62382,222,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,19804,19911,107,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,9477,10778,1301,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,5797,6064,267,PP BYN
WF-6590,VQHY044781,Control Patrimonial,8647,9068,421,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,28573,28826,253,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,18972,21714,2742,PP BYN
WF-6590,VQHY047946,Transporte,12282,12619,337,PP BYN
WF-6590,VQHY047946,Transporte,11315,12549,1234,PP COLOR
WF-M5799,X3BK008029,Agua Potable,112282,113398,1116,PP BYN
