modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,95570,98700,3130,PP BYN
MX-C300W,5300340700,policia analisis,47816,48307,491,PP BYN
MX-C300W,5300340700,policia analisis,56647,57000,353,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15510,15510,0,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,61496,61497,1,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,147180,148896,1716,PP BYN
MX-C300W,6300465100,Direccion Proteccion,19907,20180,273,PP BYN
MX-C300W,6300465100,Direccion Proteccion,15007,15245,238,PP COLOR
MX-C301W,6302372100,Presidencia,21027,21421,394,PP COLOR
MX-C301W,6302372100,Presidencia,17126,17349,223,PP BYN
MX-M464N,7503460600,Desarrollo Social,216719,221596,4877,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,77449,79459,2010,PP BYN
MX-C301W,8301370000,Director de,87981,88609,628,PP BYN
MX-C301W,8301370000,Director de,52099,53662,1563,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,92000,98541,6541,PP BYN
MX-B350W,8F01393000,Secretaria,63307,67766,4459,PP BYN
MX-B355W,8F01489100,DESARROLLO,85287,90130,4843,PP BYN
MX-C303W,9301617900,Catastro,20741,21517,776,PP COLOR
MX-C303W,9301617900,Catastro,8007,8313,306,PP BYN
MX-C301W,9302944100,Gobernación,5223,5677,454,PP BYN
MX-C301W,9302944100,Gobernación,1597,1847,250,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,57358,58202,844,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,119523,119929,406,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,212031,215493,3462,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,78276,78602,326,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,211207,212808,1601,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,176365,178698,2333,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,16077,16130,53,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,45730,45762,32,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,63493,64111,618,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,20449,20640,191,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,13072,13510,438,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,7609,8110,501,PP BYN
WF-6590,VQHY044781,Control Patrimonial,11552,12278,726,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,30408,30798,390,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,25460,27038,1578,PP BYN
WF-6590,VQHY047946,Transporte,14422,15261,839,PP BYN
WF-6590,VQHY047946,Transporte,14702,15503,801,PP COLOR
WF-M5799,X3BK008029,Agua Potable,117785,119425,1640,PP BYN
