modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,51589,55026,3437,PP BYN
MX-C300W,5300340700,policia analisis,47515,47515,0,PP BYN
MX-C300W,5300340700,policia analisis,56090,56092,2,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15298,15375,77,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,57414,58067,653,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,125258,127769,2511,PP BYN
MX-C300W,6300465100,Direccion Proteccion,15488,15897,409,PP BYN
MX-C300W,6300465100,Direccion Proteccion,11648,12036,388,PP COLOR
MX-C301W,6302372100,Presidencia,18784,19311,527,PP COLOR
MX-C301W,6302372100,Presidencia,15923,15987,64,PP BYN
MX-M464N,7503460600,Desarrollo Social,200956,204370,3414,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,65316,66878,1562,PP BYN
MX-C301W,8301370000,Director de,81965,83110,1145,PP BYN
MX-C301W,8301370000,Director de,41489,42943,1454,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,46597,51170,4573,PP BYN
MX-B350W,8F01393000,Secretaria,31035,35932,4897,PP BYN
MX-B355W,8F01489100,DESARROLLO,73976,76049,2073,PP BYN
MX-C303W,9301617900,Catastro,15828,15828,0,PP COLOR
MX-C303W,9301617900,Catastro,4889,4901,12,PP BYN
MX-C301W,9302944100,Gobernación,2605,2906,301,PP BYN
MX-C301W,9302944100,Gobernación,858,877,19,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,53696,53772,76,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,115834,116361,527,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,186402,189079,2677,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,75514,76134,620,PP BYN
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,163946,165365,1419,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,14967,15066,99,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,43983,44059,76,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,60988,61419,431,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,18979,19411,432,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,6736,7678,942,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,4244,4631,387,PP BYN
WF-6590,VQHY044781,Control Patrimonial,5627,6224,597,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,26800,27024,224,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,17898,18015,117,PP BYN
WF-6590,VQHY047946,Transporte,10439,10723,284,PP BYN
WF-6590,VQHY047946,Transporte,6806,7422,616,PP COLOR
WF-M5799,X3BK008021,Presidencia,117836,119651,1815,PP BYN
WF-M5799,X3BK008029,Agua Potable,107783,108895,1112,PP BYN
