modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,63944,74840,10896,PP BYN
MX-C300W,5300340700,policia analisis,47565,47568,3,PP BYN
MX-C300W,5300340700,policia analisis,56206,56206,0,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15407,15493,86,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,58883,59687,804,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,129541,132419,2878,PP BYN
MX-C300W,6300465100,Direccion Proteccion,16223,17453,1230,PP BYN
MX-C300W,6300465100,Direccion Proteccion,12378,13150,772,PP COLOR
MX-C301W,6302372100,Presidencia,19328,19622,294,PP COLOR
MX-C301W,6302372100,Presidencia,15999,16046,47,PP BYN
MX-M464N,7503460600,Desarrollo Social,206261,207767,1506,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,67541,69302,1761,PP BYN
MX-C301W,8301370000,Director de,83500,84056,556,PP BYN
MX-C301W,8301370000,Director de,43582,44742,1160,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,53541,61160,7619,PP BYN
MX-B350W,8F01393000,Secretaria,38246,40114,1868,PP BYN
MX-B355W,8F01489100,DESARROLLO,76334,77332,998,PP BYN
MX-C303W,9301617900,Catastro,16133,16496,363,PP COLOR
MX-C303W,9301617900,Catastro,5081,5116,35,PP BYN
MX-C301W,9302944100,Gobernación,3132,3369,237,PP BYN
MX-C301W,9302944100,Gobernación,916,1034,118,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,53790,54291,501,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,116442,116817,375,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,190609,193945,3336,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,76383,76713,330,PP BYN
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,165661,167973,2312,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15120,15413,293,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,44156,44515,359,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,61584,61939,355,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,19491,19513,22,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,8045,8704,659,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,4764,5322,558,PP BYN
WF-6590,VQHY044781,Control Patrimonial,6469,7928,1459,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,27219,27621,402,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,18212,18429,217,PP BYN
WF-6590,VQHY047946,Transporte,10934,11446,512,PP BYN
WF-6590,VQHY047946,Transporte,9171,10463,1292,PP COLOR
WF-M5799,X3BK008021,Presidencia,120600,122629,2029,PP BYN
WF-M5799,X3BK008029,Agua Potable,109563,110565,1002,PP BYN
