modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,93899,95570,1671,PP BYN
MX-C300W,5300340700,policia analisis,47592,47816,224,PP BYN
MX-C300W,5300340700,policia analisis,56291,56647,356,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15503,15510,7,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,61371,61496,125,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,144159,147180,3021,PP BYN
MX-C300W,6300465100,Direccion Proteccion,19406,19907,501,PP BYN
MX-C300W,6300465100,Direccion Proteccion,14579,15007,428,PP COLOR
MX-C301W,6302372100,Presidencia,20597,21027,430,PP COLOR
MX-C301W,6302372100,Presidencia,16913,17126,213,PP BYN
MX-M464N,7503460600,Desarrollo Social,215534,216719,1185,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,75771,77449,1678,PP BYN
MX-C301W,8301370000,Director de,87004,87981,977,PP BYN
MX-C301W,8301370000,Director de,50264,52099,1835,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,88236,92000,3764,PP BYN
MX-B350W,8F01393000,Secretaria,60259,63307,3048,PP BYN
MX-B355W,8F01489100,DESARROLLO,85287,85287,0,PP BYN
MX-C303W,9301617900,Catastro,19478,20741,1263,PP COLOR
MX-C303W,9301617900,Catastro,7417,8007,590,PP BYN
MX-C301W,9302944100,Gobernación,4716,5223,507,PP BYN
MX-C301W,9302944100,Gobernación,1356,1597,241,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,56713,57358,645,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,118935,119523,588,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,208642,212031,3389,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,77933,78276,343,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,209533,211207,1674,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,175112,176365,1253,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15874,16077,203,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,45486,45730,244,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,62928,63493,565,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,20366,20449,83,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,12638,13072,434,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,6855,7609,754,PP BYN
WF-6590,VQHY044781,Control Patrimonial,10304,11552,1248,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,29677,30408,731,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,24110,25460,1350,PP BYN
WF-6590,VQHY047946,Transporte,13955,14422,467,PP BYN
WF-6590,VQHY047946,Transporte,13909,14702,793,PP COLOR
WF-M5799,X3BK008029,Agua Potable,115838,117785,1947,PP BYN
