modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,90699,93899,3200,PP BYN
MX-C300W,5300340700,policia analisis,47587,47592,5,PP BYN
MX-C300W,5300340700,policia analisis,56212,56291,79,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15499,15503,4,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,61038,61371,333,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,141315,144159,2844,PP BYN
MX-C300W,6300465100,Direccion Proteccion,19099,19406,307,PP BYN
MX-C300W,6300465100,Direccion Proteccion,14436,14579,143,PP COLOR
MX-C301W,6302372100,Presidencia,20370,20597,227,PP COLOR
MX-C301W,6302372100,Presidencia,16855,16913,58,PP BYN
MX-M464N,7503460600,Desarrollo Social,214303,215534,1231,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,74287,75771,1484,PP BYN
MX-C301W,8301370000,Director de,86769,87004,235,PP BYN
MX-C301W,8301370000,Director de,49719,50264,545,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,83853,88236,4383,PP BYN
MX-B350W,8F01393000,Secretaria,55223,60259,5036,PP BYN
MX-B355W,8F01489100,DESARROLLO,83584,85287,1703,PP BYN
MX-C303W,9301617900,Catastro,18953,19478,525,PP COLOR
MX-C303W,9301617900,Catastro,7365,7417,52,PP BYN
MX-C301W,9302944100,Gobernación,4383,4716,333,PP BYN
MX-C301W,9302944100,Gobernación,1221,1356,135,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,55661,56713,1052,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,118394,118935,541,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,204491,208642,4151,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,77626,77933,307,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,207951,209533,1582,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,172915,175112,2197,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15874,15874,0,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,45486,45486,0,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,62651,62928,277,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,20314,20366,52,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,11832,12638,806,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,6535,6855,320,PP BYN
WF-6590,VQHY044781,Control Patrimonial,9770,10304,534,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,29486,29677,191,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,22412,24110,1698,PP BYN
WF-6590,VQHY047946,Transporte,13237,13955,718,PP BYN
WF-6590,VQHY047946,Transporte,13429,13909,480,PP COLOR
WF-M5799,X3BK008029,Agua Potable,114263,115838,1575,PP BYN
