modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,74840,81829,6989,PP BYN
MX-C300W,5300340700,policia analisis,47568,47574,6,PP BYN
MX-C300W,5300340700,policia analisis,56206,56209,3,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15493,15496,3,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,59687,60696,1009,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,132419,136126,3707,PP BYN
MX-C300W,6300465100,Direccion Proteccion,17453,18129,676,PP BYN
MX-C300W,6300465100,Direccion Proteccion,13150,13687,537,PP COLOR
MX-C301W,6302372100,Presidencia,19622,19787,165,PP COLOR
MX-C301W,6302372100,Presidencia,16046,16081,35,PP BYN
MX-M464N,7503460600,Desarrollo Social,207767,210061,2294,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,69302,71447,2145,PP BYN
MX-C301W,8301370000,Director de,84056,84602,546,PP BYN
MX-C301W,8301370000,Director de,44742,46272,1530,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,61160,68226,7066,PP BYN
MX-B350W,8F01393000,Secretaria,40114,46017,5903,PP BYN
MX-B355W,8F01489100,DESARROLLO,77332,79007,1675,PP BYN
MX-C303W,9301617900,Catastro,16496,17046,550,PP COLOR
MX-C303W,9301617900,Catastro,5116,5709,593,PP BYN
MX-C301W,9302944100,Gobernación,3369,3459,90,PP BYN
MX-C301W,9302944100,Gobernación,1034,1063,29,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,54291,55367,1076,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,116817,117199,382,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,193945,197583,3638,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,76713,77391,678,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,204403,205693,1290,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,167973,168917,944,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15413,15645,232,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,44515,44850,335,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,61939,62160,221,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,19513,19804,291,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,8704,9477,773,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,5322,5797,475,PP BYN
WF-6590,VQHY044781,Control Patrimonial,7928,8647,719,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,27621,28573,952,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,18429,18972,543,PP BYN
WF-6590,VQHY047946,Transporte,11446,12282,836,PP BYN
WF-6590,VQHY047946,Transporte,10463,11315,852,PP COLOR
WF-M5799,X3BK008021,Presidencia,122629,122629,0,PP BYN
WF-M5799,X3BK008029,Agua Potable,110565,112282,1717,PP BYN
