modelo,numero_serie,ubicacion_departamento,lectura_anterior,lectura_actual,paginas_procesadas,tipo_servicio
MX-M4051,0502642900,Tesoreria,86632,90699,4067,PP BYN
MX-C300W,5300340700,policia analisis,47584,47587,3,PP BYN
MX-C300W,5300340700,policia analisis,56210,56212,2,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,15496,15499,3,PP COLOR
MX-C301W,5300627Y00,Seguridad Publica,60996,61038,42,PP BYN
MX-M356N,5502439900,Mod. inf. del centro de,138897,141315,2418,PP BYN
MX-C300W,6300465100,Direccion Proteccion,18609,19099,490,PP BYN
MX-C300W,6300465100,Direccion Proteccion,13910,14436,526,PP COLOR
MX-C301W,6302372100,Presidencia,20108,20370,262,PP COLOR
MX-C301W,6302372100,Presidencia,16725,16855,130,PP BYN
MX-M464N,7503460600,Desarrollo Social,211894,214303,2409,PP BYN
MX-M464N,7503467600,Direccion Desarrollo,73062,74287,1225,PP BYN
MX-C301W,8301370000,Director de,85634,86769,1135,PP BYN
MX-C301W,8301370000,Director de,48347,49719,1372,PP COLOR
MX-M3050,8500066100,Oficilia Mayor,74233,83853,9620,PP BYN
MX-B350W,8F01393000,Secretaria,49094,55223,6129,PP BYN
MX-B355W,8F01489100,DESARROLLO,80619,83584,2965,PP BYN
MX-C303W,9301617900,Catastro,17615,18953,1338,PP COLOR
MX-C303W,9301617900,Catastro,6421,7365,944,PP BYN
MX-C301W,9302944100,Gobernación,3962,4383,421,PP BYN
MX-C301W,9302944100,Gobernación,1132,1221,89,PP COLOR
MFCL2540DW,U63885B9N606928,Recursos Humanos,55613,55661,48,PP BYN
DCPL5650DN,U64197A7N369880,Direccion de Salud,117812,118394,582,PP BYN
DCPL5650DN,U64197F1N648661,Contraloria,200866,204491,3625,PP BYN
DCPL5650DN,U64197F1N648669,Obras Publicas,77505,77626,121,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,205693,207951,2258,PP BYN
DCPL5650DN,U64197F1N648682,Gobernación,0,0,0,PP COLOR
DCPL5650DN,U64197F1N648685,Sub Direccion de Obras,170077,172915,2838,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,15785,15874,89,PP BYN
MFCL9570CDW,U64647M8J341409,Atencion Ciudadana,45088,45486,398,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,62382,62651,269,PP COLOR
MFCL9570CDW,U64647M8J341509,OBRAS PUBLICAS,19911,20314,403,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,10778,11832,1054,PP BYN
MFC-L6915DW,U66655H3N161368,Juridico,0,0,0,PP COLOR
WF-6590,VQHY044781,Control Patrimonial,6064,6535,471,PP BYN
WF-6590,VQHY044781,Control Patrimonial,9068,9770,702,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,28826,29486,660,PP COLOR
WF-6590,VQHY047945,Direccion de Admon e,21714,22412,698,PP BYN
WF-6590,VQHY047946,Transporte,12619,13237,618,PP BYN
WF-6590,VQHY047946,Transporte,12549,13429,880,PP COLOR
WF-M5799,X3BK008029,Agua Potable,113398,114263,865,PP BYN
